school,latitude,longitude
Appalachian State University,36.2136,-81.6843
East Carolina State University,35.6069,-77.3665
Elizabeth City State University,36.2811,-76.214
Fayetteville State University,35.0742,-78.8925
North Carolina A&T,36.077,-79.7718
North Carolina Central University,35.9752,-78.8997
North Carolina School of Science and Mathematics,36.0196,-78.9207
North Carolina State University,35.7847,-78.6821
UNC Asheville,35.5951,-82.5515
UNC Chapel Hill,35.9049,-79.0469
UNC Charlotte,35.2271,-80.8431
UNC Charlotte,35.2271,-80.8431
UNC Greensboro,36.0726,-79.792
UNC Pembroke,34.6802,-79.195
UNC School of the Arts,36.0763,-80.237
UNC Wilmington,34.2239,-77.8696
Western Carolina University,35.309,-83.1864
Winston-Salem State University,36.0898,-80.225
